Datetime,Open,High,Low,Close,Volume
2024-06-10 09:15:00,22999.78,23000.24,22998.4,22998.93,9109
2024-06-10 09:16:00,22997.94,22998.94,22996.33,22996.29,1269
2024-06-10 09:17:00,23000.23,23001.69,22995.9,22999.14,1930
2024-06-10 09:18:00,22996.84,22998.17,22992.08,22996.74,7205
2024-06-10 09:19:00,22992.82,22994.13,22992.68,22991.75,6075
2024-06-10 09:20:00,22990.7,22994.3,22985.83,22990.51,3867
2024-06-10 09:21:00,22995.1,22996.67,22994.15,22993.73,2074
2024-06-10 09:22:00,22994.95,22995.09,22993.97,22996.47,6524
2024-06-10 09:23:00,22991.67,22993.55,22990.59,22992.88,2964
2024-06-10 09:24:00,22993.65,22997.59,22990.69,22994.21,7648
2024-06-10 09:25:00,22997.13,23000.23,22995.68,22996.37,8165
2024-06-10 09:26:00,22993.49,22996.51,22991.4,22993.7,4508
2024-06-10 09:27:00,22994.11,22995.81,22989.62,22993.06,9958
2024-06-10 09:28:00,22997.3,22997.91,22995.19,22997.86,2925
2024-06-10 09:29:00,22998.12,23001.98,22993.76,22999.49,8323
2024-06-10 09:30:00,22998.17,23000.82,22994.35,22997.15,9564
2024-06-10 09:31:00,22998.06,23001.89,22997.05,22996.94,2716
2024-06-10 09:32:00,22995.26,22996.15,22995.12,22995.67,9472
2024-06-10 09:33:00,22996.34,23000.55,22994.18,22996.19,8659
2024-06-10 09:34:00,23001.09,23005.0,22997.57,23001.07,5062
2024-06-10 09:35:00,23005.7,23008.69,23004.94,23004.62,6034
2024-06-10 09:36:00,23003.09,23004.32,22999.19,23001.41,8026
2024-06-10 09:37:00,23002.0,23004.17,22999.54,23002.26,8672
2024-06-10 09:38:00,22998.33,23003.13,22993.61,22999.06,4352
2024-06-10 09:39:00,23003.75,23005.46,22999.2,23003.84,2478
2024-06-10 09:40:00,23000.89,23003.11,22999.36,23001.95,8066
2024-06-10 09:41:00,23000.05,23001.88,22997.91,23001.74,5553
2024-06-10 09:42:00,23002.54,23002.63,23001.66,23004.04,4956
2024-06-10 09:43:00,23001.46,23004.6,23000.9,22999.8,3594
2024-06-10 09:44:00,22997.59,22999.27,22994.12,22999.07,2507
2024-06-10 09:45:00,22995.18,22999.3,22993.85,22994.84,1658
2024-06-10 09:46:00,22997.76,23002.32,22997.68,22999.43,2430
2024-06-10 09:47:00,22996.49,22996.77,22996.48,22995.83,4991
2024-06-10 09:48:00,22991.02,22991.76,22986.65,22992.9,3240
2024-06-10 09:49:00,22991.51,22993.4,22989.08,22993.02,1405
2024-06-10 09:50:00,22995.76,22997.28,22995.63,22993.81,5724
2024-06-10 09:51:00,22993.16,22997.43,22991.11,22991.55,7419
2024-06-10 09:52:00,22995.12,22999.55,22993.27,22995.32,1564
2024-06-10 09:53:00,22996.98,22997.12,22992.88,22996.82,4940
2024-06-10 09:54:00,23000.6,23005.15,22996.23,22999.38,1642
2024-06-10 09:55:00,22996.41,22999.48,22991.49,22994.86,1359
2024-06-10 09:56:00,22995.07,22997.25,22993.7,22994.15,1855
2024-06-10 09:57:00,22996.01,22996.34,22993.82,22994.24,7434
2024-06-10 09:58:00,22989.43,22994.37,22984.84,22989.74,2011
2024-06-10 09:59:00,22993.02,22995.67,22991.07,22994.56,4409
2024-06-10 10:00:00,22995.53,22995.94,22991.93,22994.28,1544
2024-06-10 10:01:00,22996.16,23000.08,22995.77,22996.71,1775
2024-06-10 10:02:00,22993.26,22997.73,22988.97,22994.09,7766
2024-06-10 10:03:00,22990.33,22991.82,22986.28,22990.09,9465
2024-06-10 10:04:00,22993.0,22995.08,22988.83,22994.99,3204
2024-06-10 10:05:00,22999.64,23002.09,22999.34,22998.24,6245
2024-06-10 10:06:00,22997.47,22998.29,22995.77,22997.88,4745
2024-06-10 10:07:00,22995.79,22997.72,22995.48,22997.56,1573
2024-06-10 10:08:00,22992.84,22994.2,22992.13,22991.13,5231
2024-06-10 10:09:00,22986.34,22990.08,22983.2,22986.48,8593
2024-06-10 10:10:00,22989.98,22992.71,22986.72,22991.33,5366
2024-06-10 10:11:00,22991.77,22993.23,22991.37,22991.3,2881
2024-06-10 10:12:00,22987.95,22991.91,22984.65,22988.81,9130
2024-06-10 10:13:00,22993.46,22998.3,22990.83,22993.42,8590
2024-06-10 10:14:00,22991.8,22996.61,22988.13,22993.39,8809
2024-06-10 10:15:00,22995.74,22995.9,22990.87,22996.05,6644
2024-06-10 10:16:00,22999.02,23003.92,22998.31,23000.1,2500
